JJ,JJR,JJS,RB,RBR,RBS,VB,VBD,VBG,VBN,VBP,VBZ
exclusive,better,most,durations.possibly,better,most,represent,raised,aggregating,Based,incorporate,undoes
semantic,less,best,individually,further,,help,set,being,developed,traverse,fields
text,more,nearest,particularly,less,,show,crafted,existing,supported,organize,is
accurate,user,,often,more,,skip,hypothesized,structuring,displayed,entail,states
global,consider,,visually,,,distribute,developed,underlying,adjusted,render,skips
desirable,,,thus,,,identify,named,including,visualized,represent,executes
unacceptable,,,back,,,go,visualized,adding,stored,chunk,chunks
rapid,,,highly,,,find,added,solving,argued,contribute,bookmarks
relevant,,,declaratively,,,consider,performed,visualizing,saved,map,facilitates
undo/redo,,,as,,,depend,enhanced,indicating,bookmarked,involve,remains
alternative,,,optionally,,,cache,culled,expressing,based,interface,affects
high-level,,,simply,,,desktop,implemented,lacking,merged,determine,integrates
low-level,,,together,,,better,returned,showing,dependent,are,contains
previous,,,directly,,,add,bookmarked,exporting,sorted,want,histories
Graphical,,,further,,,indicate,clicked,timing,accepted,arise,does
re-applying,,,carefully,,,include,served,using,presented,need,provides
varied,,,apply,,,build,recorded,scrolling,discarded,et,has
cs.berkeley.edu,,,still,,,move,needed,tagging,traversed,occur,chains
.time.travel,,,alone,,,return,surveyed,sorting,mapped,make,occurs
operational,,,readily,,,reuse,unneeded,identifying,found,web,shows
.undone,,,sequentially,,,thereby,was,performing,noted,use,performs
analytic,,,again,,,evaluate,merged,cropping,added,visualize,matches
add,,,rarely,,,introduce,used,deleting,referred,hide,maintains
other,,,prior,,,decide,chose,versioning,abbreviated,calculate,visits
easy,,,rather,,,discuss,discovered,searching,unexpected,(,includes
suite,,,currently,,,drop,deleted,streaming,achieved,avoid,updates
local,,,However,,,yield,generated,Bookmarking,related,thank,consists
drop-down,,,Here,,,merge,designed,affixing,used,note,depicts
merged,,,quickly,,,benefit,automated,organizing,enhanced,call,modifies
data-driven,,,also,,,either,sorted,reducing,implemented,present,runs
trade-off,,,accordingly,,,recall,wanted,visiting,provided,include,contributes
multi-step,,,potentially,,,become,had,managing,reused,store,shelves
sequential,,,Additionally,,,view,present,bookmarking,selected,do,supports
details-on-demand,,,Alternatively,,,traverse,posted,navigating,recorded,suggest,notes
dependent,,,forward,,,retrieve,faced,designing,navigated,describe,allows
Many,,,probably,,,reduce,received,suggesting,edited,multiple,clicks
possible,,,semantically,,,past,created,restoring,deleted,resume,suggests
tableausoftware.com,,,empirically,,,see,did,supporting,desired,evaluate,sets
consecutive,,,regularly,,,export,involved,creating,unwanted,communicate,composites
unique,,,then,,,result,reasoned,opening,output,undo,enables
.time,,,only,,,et,discussed,combating,represented,explore,requires
Phelps-Goodman,,,relatively,,,click,conducted,investigating,improved,plan,involves
user.s,,,thereby,,,visualize,stored,modeling,created,aggregate,
helpful,,,enough,,,hide,were,crafting,inspired,[,
larger-scale,,,perceptually,,,appear,found,logging,incorporated,believe,
manual,,,Jankun-Kelly,,,review,introduced,leaving,focused,encapsulate,
identified,,,never,,,state,exported,resulting,introduced,discuss,
remove,,,however,,,illustrate,,removing,adapted,specify,
large,,,Not,,,cause,,filtering,designed,raise,
informative,,,nearly,,,be,,encoding,named,querying-by-example,
common,,,not,,,complement,,obtaining,followed,outline,
automatic,,,immediately,,,communicate,,improving,scaled,worksheet,
accessible,,,now,,,undo,,analyzing,analyzed,require,
beneficial,,,periodically,,,step,,annotating,utilized,work,
square,,,partially,,,aid,,leading,set,face,
retrieve,,,ago,,,group,,styling,done,record,
hand-crafted,,,about,,,estimate,,achieving,reached,investigate,
.chunking,,,especially,,,generate,,generating,described,adjust,
related,,,always,,,improve,,corresponding,coalesced,place,
past,,,well,,,perform,,modelling,become,mode,
non-visual,,,commonly,,,study,,editing,informed,have,
likely,,,Similarly,,,impose,,representing,been,contain,
individual,,,mutually,,,ensure,,keeping,needed,model,
static,,,As,,,facilitate,,applying,depicted,facilitate,
top-level,,,so,,,create,,integrating,listed,support,
maneesh,,,either,,,revise,,facilitating,passed,delete,
non-uniformly,,,Moreover,,,organize,,ranging,collected,,
right-clicking,,,typically,,,annotate,,recording,copied,,
specific,,,automatically,,,maximize,,formatting,separated,,
scale,,,first,,,enumerate,,making,tested,,
state.an,,,,,,redo,,providing,mailed,,
computer.org,,,,,,teach,,deciding,automated,,
subsequent,,,,,,select,,preserving,removed,,
current,,,,,,size,,Looking,applied,,
enough,,,,,,use,,spanning,made,,
Selective,,,,,,log,,finding,embedded,,
various,,,,,,prove,,replacing,placed,,
new,,,,,,bookmark,,chunking,visited,,
.washed,,,,,,support,,browsing,revisited,,
thumbnail,,,,,,construct,,helping,chunked,,
available,,,,,,coalesce,,impacting,called,,
left-to-right,,,,,,analyze,,moving,associated,,
linear,,,,,,describe,,allowing,indicated,,
relative,,,,,,serve,,rolling,defined,,
unwieldy,,,,,,heat,,Deleting,organized,,
commercial,,,,,,craft,,sensemaking,proven,,
empirically-motivated,,,,,,understand,,branching,performed,,
.snapshot,,,,,,differentiate,,surfing,categorized,,
notable,,,,,,true,,enumerating,viewed,,
iconic,,,,,,wish,,presenting,grouped,,
willing,,,,,,require,,revising,read,,
selective,,,,,,work,,starting,captioned,,
complicated,,,,,,record,,,unneeded,,
key,,,,,,limit,,,expected,,
regular,,,,,,design,,,investigated,,
re-applied,,,,,,delete,,,intended,,
last,,,,,,entail,,,shown,,
many,,,,,,contribute,,,generated,,
Tableau.s,,,,,,share,,,explored,,
iterative,,,,,,involve,,,connected,,
feasible,,,,,,have,,,exported,,
action-based,,,,,,need,,,suited,,
prior,,,,,,seem,,,included,,
disable,,,,,,recover,,,culled,,
undesirable,,,,,,mouse,,,cleared,,
context,,,,,,develop,,,aggregated,,
real,,,,,,provide,,,considered,,
suitable,,,,,,make,,,required,,
story-telling,,,,,,expect,,,redesigned,,
.wash,,,,,,take,,,accounted,,
first,,,,,,parameter,,,dragged,,
own,,,,,,play,,,augmented,,
useful,,,,,,multiple,,,,,
architectural,,,,,,update,,,,,
Computer-Human,,,,,,reflect,,,,,
quickly-made,,,,,,scale,,,,,
undo-as-delete,,,,,,aggregate,,,,,
primary,,,,,,summarize,,,,,
strategic,,,,,,grow,,,,,
median,,,,,,branching,,,,,
appropriate,,,,,,inform,,,,,
collapsible,,,,,,maintain,,,,,
derive,,,,,,constrain,,,,,
comic,,,,,,,,,,,
undo.as-delete,,,,,,,,,,,
little,,,,,,,,,,,
delete,,,,,,,,,,,
.think-aloud,,,,,,,,,,,
additional,,,,,,,,,,,
parameter-set,,,,,,,,,,,
due,,,,,,,,,,,
side-effect,,,,,,,,,,,
E-Mail,,,,,,,,,,,
duplicate,,,,,,,,,,,
content-centric,,,,,,,,,,,
low,,,,,,,,,,,
basic,,,,,,,,,,,
Such,,,,,,,,,,,
recent,,,,,,,,,,,
Multi-Level,,,,,,,,,,,
graphical,,,,,,,,,,,
enable,,,,,,,,,,,
.ShowMe,,,,,,,,,,,
complete,,,,,,,,,,,
composite,,,,,,,,,,,
Re-designed,,,,,,,,,,,
continuous,,,,,,,,,,,
editable,,,,,,,,,,,
memory-inefficient,,,,,,,,,,,
visual,,,,,,,,,,,
hierarchical,,,,,,,,,,,
external,,,,,,,,,,,
particular,,,,,,,,,,,
sense-making,,,,,,,,,,,
items.discrete,,,,,,,,,,,
question-answering,,,,,,,,,,,
present,,,,,,,,,,,
Interactive,,,,,,,,,,,
state.will,,,,,,,,,,,
graphic,,,,,,,,,,,
effective,,,,,,,,,,,
user-provided,,,,,,,,,,,
comic-strip,,,,,,,,,,,
tree,,,,,,,,,,,
empirical,,,,,,,,,,,
dynamic,,,,,,,,,,,
tabular,,,,,,,,,,,
future,,,,,,,,,,,
historical,,,,,,,,,,,
following,,,,,,,,,,,
chunked,,,,,,,,,,,
similar,,,,,,,,,,,
interactive,,,,,,,,,,,
identical,,,,,,,,,,,
drill-down,,,,,,,,,,,
behavior,,,,,,,,,,,
higher-level,,,,,,,,,,,
al,,,,,,,,,,,
general,,,,,,,,,,,
.delete,,,,,,,,,,,
single,,,,,,,,,,,
Other,,,,,,,,,,,
details.on-demand,,,,,,,,,,,
cumbersome,,,,,,,,,,,
absolute,,,,,,,,,,,
different,,,,,,,,,,,
faithful,,,,,,,,,,,
snake.like,,,,,,,,,,,
transactional,,,,,,,,,,,
hybrid,,,,,,,,,,,
same,,,,,,,,,,,
grouped,,,,,,,,,,,
potential,,,,,,,,,,,
Content-based,,,,,,,,,,,
cstolte,,,,,,,,,,,
native,,,,,,,,,,,
stack-based,,,,,,,,,,,
Asian,,,,,,,,,,,
clean,,,,,,,,,,,
separate,,,,,,,,,,,
Undo-as-Delete,,,,,,,,,,,
derived,,,,,,,,,,,
unobtrusive,,,,,,,,,,,
3rd,,,,,,,,,,,
Automatic,,,,,,,,,,,
undo-as.delete,,,,,,,,,,,
important,,,,,,,,,,,
Table,,,,,,,,,,,
aggregate,,,,,,,,,,,
such,,,,,,,,,,,
meaningful,,,,,,,,,,,
nuanced,,,,,,,,,,,
down-sampling,,,,,,,,,,,
auxiliary,,,,,,,,,,,
prevalent,,,,,,,,,,,
Abstract.Interactive,,,,,,,,,,,
web-based,,,,,,,,,,,
clear,,,,,,,,,,,
later,,,,,,,,,,,
state-based,,,,,,,,,,,
Object-Oriented,,,,,,,,,,,
actions.such,,,,,,,,,,,
experimental,,,,,,,,,,,
fundamental,,,,,,,,,,,
field.are,,,,,,,,,,,
salient,,,,,,,,,,,
user-friendly,,,,,,,,,,,
Total,,,,,,,,,,,
original,,,,,,,,,,,
incomplete,,,,,,,,,,,
